away_name,away_abbr,home_name,home_abbr,week,win_perc_dif,first_downs_dif,fumbles_dif,interceptions_dif,net_pass_yards_dif,pass_attempts_dif,pass_completions_dif,pass_touchdowns_dif,pass_yards_dif,penalties_dif,points_dif,rush_attempts_dif,rush_touchdowns_dif,rush_yards_dif,time_of_possession_dif,times_sacked_dif,total_yards_dif,turnovers_dif,yards_from_penalties_dif,yards_lost_from_sacks_dif,fourth_down_perc_dif,third_down_perc_dif,result,year,Unnamed: 0_x,Unnamed: 0_y,quality,importance,total_rating,elo_dif,qb_dif
Arizona Cardinals,crd,Las Vegas Raiders,rai,2,0.0,0.0,0.0,-3.0,-77.0,1.0,2.0,0.0,-90.0,2.0,20.0,9.0,1.0,39.0,-130.0,-3.0,-38.0,-3.0,38.0,-13.0,0.25,-0.2045454545454545,1.0,2022,,,34,51,43,-3.2147614873699695,56.559708501220314
Chicago Bears,chi,Green Bay Packers,gnb,2,1.0,-6.0,-1.0,0.0,-122.0,-22.0,-18.0,2.0,-139.0,1.0,-13.0,19.0,0.0,-12.0,-125.0,-2.0,-134.0,-1.0,14.0,-17.0,,0.0238095238095238,0.0,2022,,,46,67,57,-87.29653080573007,-117.54189260565643
Tennessee Titans,oti,Buffalo Bills,buf,2,-1.0,-4.0,0.0,-2.0,-26.0,2.0,-6.0,-1.0,-31.0,2.0,11.0,1.0,-1.0,-28.0,-8.0,-1.0,-54.0,-3.0,15.0,-5.0,,-0.6272727272727273,0.0,2022,,,86,42,64,-108.33304879178013,-123.65338872412414
Minnesota Vikings,min,Philadelphia Eagles,phi,2,0.0,-8.0,0.0,0.0,30.0,0.0,5.0,2.0,34.0,-7.0,-28.0,-11.0,-4.0,-90.0,-11.0,0.0,-60.0,0.0,-41.0,4.0,0.3333333333333333,-0.2805429864253393,0.0,2022,,,76,66,71,28.324213251920128,32.7352676658503
Minnesota Vikings,min,Philadelphia Eagles,phi,2,-1.0,1.0,1.0,1.0,174.0,11.0,11.0,1.0,174.0,1.0,0.0,-8.0,0.0,-56.0,-87.0,-1.0,118.0,2.0,-4.0,0.0,,0.12087912087912084,0.0,2023,120.66666666666667,206.0,76,66,71,28.324213251920128,32.7352676658503
Pittsburgh Steelers,pit,Cleveland Browns,cle,3,0.0626959247648902,-11.739811912225704,0.5172413793103448,-0.0626959247648903,-7.11285266457682,5.347962382445139,0.9310344827586192,0.0,-7.231974921630098,-1.2037617554858937,-8.984326018808776,-15.96551724137931,-2.034482758620689,-117.65830721003135,-532.8589341692789,0.9090909090909092,-124.7711598746082,0.3918495297805642,-12.658307210031346,-0.1191222570532914,,-0.1491582491582492,0.0,2022,,,22,81,52,11.995584715800078,29.01714091985542
Pittsburgh Steelers,pit,Cleveland Browns,cle,11,-0.30562659846547313,-4.491048593350385,-1.1687979539641944,-0.2544757033248082,2.453964194373384,1.723785166240404,1.0166240409207177,-0.30051150895140677,-0.3414322250639543,-1.421994884910485,11.632992327365729,-10.588235294117649,-0.6278772378516624,-44.57928388746802,-500.6202046035803,-0.03324808184143224,-42.12531969309458,-0.758312020460358,-5.68286445012788,-2.795396419437342,-0.5542635658914727,0.04195947202082173,0.0,2023,718.0666666666667,535.4146341463414,22,81,52,11.995584715800078,29.01714091985542
New Orleans Saints,nor,Carolina Panthers,car,3,0.5555555555555556,1.6799999999999995,-1.7866666666666666,0.7733333333333332,49.76444444444445,8.786666666666665,8.76888888888889,0.5555555555555556,58.93333333333334,1.764444444444445,0.4133333333333304,-1.3155555555555587,-0.5644444444444445,33.85333333333334,327.5155555555557,1.7688888888888892,83.61777777777775,1.3377777777777775,11.186666666666667,9.16888888888889,-1.0,0.0349650349650349,0.0,2022,,,19,55,37,137.56896457748007,37.87706226304705
New Orleans Saints,nor,Carolina Panthers,car,2,1.0,-5.0,0.0,-1.0,155.0,-5.0,3.0,0.0,159.0,-2.0,-9.0,-5.0,0.0,-85.0,-361.0,2.0,70.0,-1.0,-21.0,4.0,,0.08035714285714285,1.0,2023,131.0,92.66666666666667,19,55,37,137.56896457748007,37.87706226304705
Houston Texans,htx,Chicago Bears,chi,3,-0.8125,4.083333333333332,1.1458333333333333,-1.0,105.02083333333334,21.458333333333336,13.854166666666668,-0.2916666666666667,107.5625,2.916666666666667,5.479166666666668,-10.458333333333332,-1.0,-36.1875,214.8958333333333,0.8125,68.83333333333331,-0.3333333333333333,29.125,2.541666666666668,0.3333333333333333,-0.0559056020162676,0.0,2022,,,4,28,16,-58.75488857673008,27.247941460354227
