team_name,team_abbr,score,game_won,game_lost,first_downs,fourth_down_attempts,fourth_down_conversions,fumbles,fumbles_lost,interceptions,net_pass_yards,pass_attempts,pass_completions,pass_touchdowns,pass_yards,penalties,points,rush_attempts,rush_touchdowns,rush_yards,third_down_attempts,third_down_conversions,time_of_possession,times_sacked,total_yards,turnovers,yards_from_penalties,yards_lost_from_sacks,week
Carolina Panthers,car,13,0,1,12,3,3,1,0,0,170,38,21,0,185,5,16,16,0,43,15,3,1589,3,213,0,45,15,10
Chicago Bears,chi,16,1,0,21,1,1,0,0,0,162,33,20,0,162,7,13,37,1,133,15,6,2011,0,295,0,44,0,10
Indianapolis Colts,clt,10,1,0,14,2,2,0,0,1,194,28,18,0,194,4,6,26,1,70,13,5,1535,0,264,1,34,0,10
New England Patriots,nwe,6,0,1,21,1,1,1,0,2,173,27,18,0,195,5,10,36,0,167,14,6,2065,5,340,2,34,22,10
Houston Texans,htx,30,1,0,28,1,0,2,2,1,356,39,23,1,356,7,27,34,2,188,13,4,1890,1,544,3,50,0,10
Cincinnati Bengals,cin,27,0,1,20,1,1,1,0,2,314,40,27,2,347,4,30,16,1,66,14,6,1710,4,380,2,63,33,10
San Francisco 49ers,sfo,34,1,0,20,2,1,0,0,0,293,28,20,3,302,7,3,30,1,144,12,4,1991,2,437,0,90,9,10
Jacksonville Jaguars,jax,3,0,1,12,1,0,2,2,2,162,32,18,0,190,5,34,17,0,59,12,4,1609,5,221,4,39,28,10
New Orleans Saints,nor,19,0,1,16,2,2,1,0,2,215,43,26,2,232,9,27,15,0,65,14,4,1614,3,280,2,74,17,10
Minnesota Vikings,min,27,1,0,23,0,0,0,0,0,263,34,23,1,268,5,19,33,2,125,15,6,1986,1,388,0,35,5,10
Green Bay Packers,gnb,19,0,1,17,2,2,2,0,2,283,40,21,2,289,5,23,24,0,116,16,8,1767,1,399,2,32,6,10
Pittsburgh Steelers,pit,23,1,0,21,1,1,0,0,0,119,23,14,0,126,3,19,36,2,205,13,4,1833,1,324,0,27,7,10
Cleveland Browns,cle,33,1,0,24,2,1,2,1,1,195,35,20,1,213,10,31,36,1,178,16,8,2055,4,373,2,55,18,10
Baltimore Ravens,rav,31,0,1,17,0,0,0,0,2,200,23,13,1,223,7,33,24,2,106,8,2,1545,3,306,2,64,23,10
Tennessee Titans,oti,6,0,1,14,2,0,0,0,1,167,39,19,0,199,5,20,16,0,42,15,6,1700,4,209,1,35,32,10
Tampa Bay Buccaneers,tam,20,1,0,19,0,0,1,0,1,263,29,18,2,278,7,6,29,0,77,15,7,1900,3,340,1,50,15,10
Atlanta Falcons,atl,23,0,1,20,2,1,0,0,0,70,21,12,1,94,4,25,41,2,184,14,7,1902,3,254,0,43,24,10
Arizona Cardinals,crd,25,1,0,20,1,1,0,0,1,230,32,19,0,249,11,23,26,2,122,11,3,1698,2,352,1,112,19,10
Detroit Lions,det,41,1,0,23,5,4,0,0,0,333,33,23,2,333,4,38,31,3,200,13,4,1834,0,533,0,44,0,10
Los Angeles Chargers,sdg,38,0,1,24,3,3,0,0,1,323,40,27,4,323,3,41,28,1,98,14,7,1766,0,421,1,36,0,10
New York Giants,nyg,17,0,1,16,3,2,0,0,1,61,27,14,2,86,2,49,23,0,111,12,0,1359,5,172,1,5,25,10
Dallas Cowboys,dal,49,1,0,32,2,1,0,0,2,472,44,33,4,472,9,17,33,3,168,12,6,2241,0,640,2,83,0,10
Washington Commanders,was,26,0,1,16,1,1,1,1,0,288,44,29,3,312,6,29,14,0,68,15,7,1773,3,356,1,39,24,10
Seattle Seahawks,sea,29,1,0,27,1,1,0,0,0,369,47,31,2,369,8,26,26,0,120,14,4,1827,1,489,0,50,0,10
New York Jets,nyj,12,0,1,14,0,0,1,0,1,257,40,23,0,263,8,16,21,0,108,16,7,1782,2,365,1,83,6,10
Las Vegas Raiders,rai,16,1,0,15,2,2,3,1,1,126,27,16,1,153,3,12,32,0,148,15,5,1818,3,274,2,25,27,10
Denver Broncos,den,24,1,0,19,1,1,1,1,0,178,29,24,2,193,10,22,38,0,122,19,8,2241,4,300,1,61,15,10
Buffalo Bills,buf,22,0,1,18,1,0,3,2,2,177,26,15,1,177,5,24,26,2,192,8,3,1359,0,369,4,63,0,10
