team_name,team_abbr,score,game_won,game_lost,first_downs,fourth_down_attempts,fourth_down_conversions,fumbles,fumbles_lost,interceptions,net_pass_yards,pass_attempts,pass_completions,pass_touchdowns,pass_yards,penalties,points,rush_attempts,rush_touchdowns,rush_yards,third_down_attempts,third_down_conversions,time_of_possession,times_sacked,total_yards,turnovers,yards_from_penalties,yards_lost_from_sacks,week
Seattle Seahawks,sea,35,0,1,25,3,0,0,0,1,334,41,23,3,334,10,41,22,2,72,14,9,1413,1,406,1,130,0,13
Dallas Cowboys,dal,41,1,0,33,2,1,0,0,0,275,41,29,3,299,9,35,34,1,136,14,8,2187,4,411,0,127,24,13
Denver Broncos,den,17,0,1,16,3,3,0,0,3,164,26,15,1,186,2,22,30,1,118,11,0,1616,3,282,3,8,22,13
Houston Texans,htx,22,1,0,14,1,1,1,0,0,264,28,17,1,292,8,17,30,1,89,16,4,1984,5,353,0,81,28,13
Detroit Lions,det,33,1,0,18,0,0,1,0,0,205,25,16,2,213,6,28,30,2,142,13,6,1670,1,347,0,45,8,13
New Orleans Saints,nor,28,0,1,23,1,0,1,1,1,249,29,19,1,267,6,33,36,3,113,12,6,1930,2,362,2,50,18,13
Los Angeles Chargers,sdg,6,1,0,13,0,0,0,0,0,212,37,22,0,212,4,0,24,0,29,15,5,1730,0,241,0,20,0,13
New England Patriots,nwe,0,0,1,13,3,1,2,1,0,109,25,13,0,141,3,6,32,0,148,14,4,1870,5,257,1,14,32,13
Atlanta Falcons,atl,13,1,0,15,0,0,3,0,0,104,27,12,1,121,6,8,34,0,90,14,4,1774,3,194,0,55,17,13
New York Jets,nyj,8,0,1,14,3,2,4,2,1,197,38,19,0,214,11,13,25,0,62,15,2,1826,4,259,3,71,17,13
Indianapolis Colts,clt,31,1,0,19,1,1,3,2,0,300,42,26,2,312,4,28,23,0,55,14,3,1743,3,355,2,29,12,13
Tennessee Titans,oti,28,0,1,25,1,0,4,2,0,204,33,16,1,224,9,31,42,2,177,17,6,2306,6,381,2,74,20,13
Arizona Cardinals,crd,24,1,0,18,0,0,2,0,0,132,23,13,1,145,6,10,38,2,150,17,10,1757,2,282,0,51,13,13
Pittsburgh Steelers,pit,10,0,1,18,1,0,2,1,0,187,27,18,1,187,9,24,31,0,130,11,4,1843,0,317,1,77,0,13
Miami Dolphins,mia,45,1,0,20,2,2,0,0,0,283,25,19,2,283,2,15,34,3,123,13,7,1936,0,406,0,15,0,13
Washington Commanders,was,15,0,1,11,1,1,1,0,1,107,23,12,0,127,3,45,28,2,138,14,6,1664,3,245,1,31,20,13
Carolina Panthers,car,18,0,1,15,3,1,2,0,1,149,31,15,0,178,7,21,34,2,133,15,3,2022,4,282,1,62,29,13
Tampa Bay Buccaneers,tam,21,1,0,15,0,0,0,0,1,194,29,14,1,202,5,18,28,2,128,15,6,1578,1,322,1,36,8,13
San Francisco 49ers,sfo,42,1,0,24,1,1,1,0,0,310,27,19,4,314,5,19,28,2,146,11,8,1701,2,456,0,47,4,13
Philadelphia Eagles,phi,19,0,1,23,2,1,1,0,0,287,48,28,1,314,7,42,18,1,46,15,8,1899,3,333,0,47,27,13
Cleveland Browns,cle,19,0,1,20,2,0,0,0,1,240,44,23,2,254,7,36,23,0,87,16,7,2043,2,327,1,86,14,13
Los Angeles Rams,ram,36,1,0,20,0,0,0,0,0,279,37,22,3,279,7,19,25,1,120,12,4,1557,0,399,0,45,0,13
Kansas City Chiefs,kan,19,0,1,25,1,0,0,0,1,189,33,21,1,210,5,27,25,1,148,11,7,1768,3,337,1,50,21,13
Green Bay Packers,gnb,27,1,0,24,1,1,0,0,0,253,36,25,3,267,7,19,25,0,129,10,5,1832,2,382,0,63,14,13
Cincinnati Bengals,cin,34,1,0,27,2,1,0,0,1,335,39,33,1,347,6,31,31,3,156,14,8,2043,2,491,1,35,12,13
Jacksonville Jaguars,jax,31,0,1,23,2,2,3,0,0,305,39,31,2,321,7,34,25,2,71,15,6,2052,4,376,0,55,16,13
