team_name,team_abbr,score,game_won,game_lost,first_downs,fourth_down_attempts,fourth_down_conversions,fumbles,fumbles_lost,interceptions,net_pass_yards,pass_attempts,pass_completions,pass_touchdowns,pass_yards,penalties,points,rush_attempts,rush_touchdowns,rush_yards,third_down_attempts,third_down_conversions,time_of_possession,times_sacked,total_yards,turnovers,yards_from_penalties,yards_lost_from_sacks,week
Denver Broncos,den,8,0,1,14,1,0,1,1,2,82,22,13,1,95,3,19,23,0,115,10,4,1451,4,197,3,34,13,6
Kansas City Chiefs,kan,19,1,0,22,1,0,2,0,1,293,41,30,1,306,7,8,27,0,96,13,4,2149,2,389,1,84,13,6
Baltimore Ravens,rav,24,1,0,20,0,0,0,0,1,221,30,21,1,223,9,16,39,0,139,16,8,2142,1,360,1,88,2,6
Tennessee Titans,oti,16,0,1,17,0,0,1,1,1,104,21,12,0,150,6,24,19,1,129,9,1,1458,6,233,2,45,46,6
Washington Commanders,was,24,1,0,13,1,1,0,0,0,121,23,14,3,151,6,16,22,0,72,10,2,1417,5,193,0,40,30,6
Atlanta Falcons,atl,16,0,1,25,3,1,0,0,3,296,47,28,2,307,4,24,29,0,106,15,5,2183,3,402,3,31,11,6
Minnesota Vikings,min,19,1,0,12,2,1,3,1,0,174,31,21,1,181,5,13,22,0,46,13,2,1489,2,220,1,63,7,6
Chicago Bears,chi,13,0,1,18,1,0,2,1,2,113,24,16,0,141,5,19,36,1,162,14,6,2111,5,275,3,29,28,6
Seattle Seahawks,sea,13,0,1,24,2,0,0,0,2,297,41,27,0,326,7,17,25,1,87,12,5,2041,4,384,2,64,29,6
Cincinnati Bengals,cin,17,1,0,15,0,0,0,0,1,168,35,24,2,185,5,13,15,0,46,11,3,1559,3,214,1,43,17,6
San Francisco 49ers,sfo,17,0,1,15,0,0,1,0,1,107,27,12,1,125,12,19,25,1,108,12,3,1617,3,215,1,105,18,6
Cleveland Browns,cle,19,1,0,18,1,1,1,0,2,174,34,18,0,192,13,17,34,1,160,13,3,1983,2,334,2,119,18,6
New Orleans Saints,nor,13,0,1,24,2,0,1,1,1,341,51,33,1,357,7,20,25,0,89,15,6,1893,2,430,2,83,16,6
Houston Texans,htx,20,1,0,19,0,0,0,0,1,177,27,13,2,199,3,13,31,0,120,11,4,1707,2,297,1,29,22,6
Indianapolis Colts,clt,20,0,1,18,6,3,1,1,3,310,55,33,1,329,6,37,17,1,44,17,6,1879,3,354,4,46,19,6
Jacksonville Jaguars,jax,37,1,0,17,1,1,0,0,1,148,30,20,2,181,5,20,29,2,85,14,4,1721,3,233,1,25,33,6
Carolina Panthers,car,21,0,1,21,4,0,1,0,0,188,39,24,1,224,3,42,25,1,108,14,5,1844,4,296,0,11,36,6
Miami Dolphins,mia,42,1,0,23,0,0,1,0,1,262,32,21,3,262,3,21,33,3,162,13,7,1756,0,424,1,25,0,6
New England Patriots,nwe,17,0,1,17,0,0,0,0,1,176,33,24,0,200,10,21,19,2,83,12,6,1668,4,259,1,79,24,6
Las Vegas Raiders,rai,21,1,0,19,0,0,0,0,1,264,32,20,1,264,6,17,33,0,84,16,8,1932,0,348,1,42,0,6
Philadelphia Eagles,phi,14,0,1,24,2,1,1,1,3,268,45,28,1,280,5,20,22,1,80,14,7,1844,2,348,4,46,12,6
New York Jets,nyj,20,1,0,17,1,0,0,0,0,155,33,19,0,186,9,14,21,1,89,11,2,1756,5,244,0,68,31,6
Arizona Cardinals,crd,9,0,1,20,4,2,1,1,1,215,41,21,0,235,5,26,30,0,130,16,6,1830,2,345,2,36,20,6
Los Angeles Rams,ram,26,1,0,17,0,0,1,1,0,203,24,15,1,226,6,9,28,1,179,12,4,1770,3,382,1,59,23,6
Detroit Lions,det,20,1,0,19,0,0,1,0,0,340,44,30,2,353,5,6,22,0,40,16,9,2190,3,380,0,35,13,6
Tampa Bay Buccaneers,tam,6,0,1,13,2,1,0,0,1,205,37,19,0,206,5,20,16,0,46,12,2,1410,1,251,1,33,1,6
New York Giants,nyg,9,0,1,20,2,1,1,0,0,185,36,24,0,200,9,14,34,0,132,19,10,1884,3,317,0,65,15,6
Buffalo Bills,buf,14,1,0,22,0,0,1,1,1,169,30,19,2,169,7,9,29,0,128,12,6,1716,0,297,2,51,0,6
Dallas Cowboys,dal,20,1,0,20,2,1,1,1,0,246,30,21,1,272,11,17,26,1,96,13,5,1792,5,342,1,85,26,6
Los Angeles Chargers,sdg,17,0,1,18,2,1,0,0,1,219,37,22,2,227,9,20,23,0,53,14,5,1808,1,272,1,79,8,6
