team_name,team_abbr,score,game_won,game_lost,first_downs,fourth_down_attempts,fourth_down_conversions,fumbles,fumbles_lost,interceptions,net_pass_yards,pass_attempts,pass_completions,pass_touchdowns,pass_yards,penalties,points,rush_attempts,rush_touchdowns,rush_yards,third_down_attempts,third_down_conversions,time_of_possession,times_sacked,total_yards,turnovers,yards_from_penalties,yards_lost_from_sacks,week
Tennessee Titans,oti,16,0,1,23,2,1,0,0,1,235,39,22,0,262,7,20,25,1,105,13,3,1869,4,340,1,51,27,9
Pittsburgh Steelers,pit,20,1,0,22,0,0,0,0,0,160,30,19,1,160,10,16,30,1,166,12,6,1731,0,326,0,80,0,9
Miami Dolphins,mia,14,0,1,20,1,0,3,1,0,175,34,21,1,193,6,21,21,1,117,12,3,1824,3,292,1,45,18,9
Kansas City Chiefs,kan,21,1,0,16,0,0,1,1,0,174,30,20,2,185,9,14,24,0,93,10,3,1776,2,267,1,69,11,9
Minnesota Vikings,min,31,1,0,23,1,1,3,2,0,217,36,25,2,236,1,28,33,1,146,16,7,1892,4,363,2,4,19,9
Atlanta Falcons,atl,28,0,1,18,0,0,1,1,1,260,38,21,1,268,8,31,28,1,110,18,10,1708,1,370,2,62,8,9
Arizona Cardinals,crd,0,0,1,7,1,0,1,1,2,17,20,11,0,58,4,27,21,0,41,12,1,1415,7,58,3,40,41,9
Cleveland Browns,cle,27,1,0,17,2,1,0,0,0,213,30,19,2,219,6,0,40,1,113,17,6,2185,1,326,0,65,6,9
Los Angeles Rams,ram,3,0,1,10,2,0,2,1,1,119,28,13,0,130,5,20,26,0,68,14,5,1484,1,187,2,36,11,9
Green Bay Packers,gnb,20,1,0,21,1,1,3,2,0,207,26,20,1,228,8,3,38,1,184,14,7,2116,4,391,2,57,21,9
Tampa Bay Buccaneers,tam,37,0,1,21,2,2,2,1,0,251,30,21,2,265,9,39,31,2,81,13,3,1880,2,332,1,90,14,9
Houston Texans,htx,39,1,0,26,1,1,2,1,0,443,42,30,5,470,9,37,17,0,53,11,3,1720,3,496,1,115,27,9
Chicago Bears,chi,17,0,1,20,1,1,3,2,3,212,30,18,2,220,8,24,32,0,156,12,6,1840,2,368,5,71,8,9
New Orleans Saints,nor,24,1,0,18,1,0,0,0,0,214,35,26,3,214,1,17,27,0,87,14,7,1760,0,301,0,5,0,9
Washington Commanders,was,20,1,0,23,0,0,1,1,1,308,45,29,1,325,4,17,29,1,124,17,9,2230,3,432,2,30,17,9
New England Patriots,nwe,17,0,1,18,2,1,0,0,1,220,44,24,1,220,4,20,19,1,107,12,3,1370,0,327,1,30,0,9
Seattle Seahawks,sea,3,0,1,6,1,0,1,1,1,123,28,13,0,157,5,37,15,0,28,12,1,1196,4,151,2,29,34,9
Baltimore Ravens,rav,37,1,0,29,2,1,3,2,0,217,33,26,1,225,3,3,41,3,298,13,6,2404,1,515,2,11,8,9
Indianapolis Colts,clt,27,1,0,17,0,0,1,1,0,120,26,17,1,127,5,13,30,0,78,13,4,1731,1,198,1,25,7,9
Carolina Panthers,car,13,0,1,17,3,2,1,0,3,137,39,24,1,173,10,27,28,0,138,16,7,1869,4,275,3,81,36,9
Dallas Cowboys,dal,23,0,1,27,5,3,2,1,0,333,44,29,3,374,10,28,21,0,73,15,6,1782,5,406,1,83,41,9
Philadelphia Eagles,phi,28,1,0,20,2,2,3,0,0,183,23,17,2,207,10,23,33,2,109,14,7,1818,3,292,0,98,24,9
New York Giants,nyg,6,0,1,15,5,1,1,0,2,154,29,19,1,200,3,30,25,0,123,12,3,1864,8,277,2,8,46,9
Las Vegas Raiders,rai,30,1,0,15,1,0,0,0,0,209,25,16,0,209,4,6,34,3,125,14,5,1736,0,334,0,30,0,9
Buffalo Bills,buf,18,0,1,21,0,0,1,1,1,249,38,26,1,258,5,24,16,1,68,12,7,1402,1,317,2,49,9,9
Cincinnati Bengals,cin,24,1,0,23,2,1,0,0,0,343,44,31,2,348,6,18,22,1,54,15,8,2198,1,397,0,49,5,9
Los Angeles Chargers,sdg,27,1,0,14,0,0,3,0,0,107,30,16,0,136,4,6,21,2,84,16,7,1533,5,191,0,39,29,9
New York Jets,nyj,6,0,1,17,4,3,4,3,0,206,49,33,0,263,8,27,20,0,64,17,3,2067,8,270,3,40,57,9
