team_name,team_abbr,score,game_won,game_lost,first_downs,fourth_down_attempts,fourth_down_conversions,fumbles,fumbles_lost,interceptions,net_pass_yards,pass_attempts,pass_completions,pass_touchdowns,pass_yards,penalties,points,rush_attempts,rush_touchdowns,rush_yards,third_down_attempts,third_down_conversions,time_of_possession,times_sacked,total_yards,turnovers,yards_from_penalties,yards_lost_from_sacks,week
Tampa Bay Buccaneers,tam,18,0,1,17,1,1,2,0,0,224,42,25,2,237,11,24,17,0,78,15,4,1683,3,302,0,74,13,8
Buffalo Bills,buf,24,1,0,25,1,0,0,0,1,312,40,31,2,324,9,18,26,1,115,13,7,1917,2,427,1,86,12,8
Houston Texans,htx,13,0,1,16,1,1,1,1,0,119,24,16,0,140,10,15,30,2,110,12,5,1771,2,229,1,70,21,8
Carolina Panthers,car,15,1,0,20,2,1,0,0,0,180,31,22,1,235,3,13,24,0,44,14,5,1829,6,224,0,20,55,8
New Orleans Saints,nor,38,1,0,24,0,0,1,1,0,350,29,20,2,354,8,27,36,3,161,12,6,1809,1,511,1,73,4,8
Indianapolis Colts,clt,27,0,1,19,1,1,0,0,1,207,41,23,2,213,6,38,24,1,164,16,7,1791,2,371,1,30,6,8
Los Angeles Rams,ram,20,0,1,15,2,1,0,0,1,188,32,18,1,204,4,43,24,1,92,13,4,1472,2,280,1,25,16,8
Dallas Cowboys,dal,43,1,0,24,1,1,0,0,1,285,34,27,4,307,4,20,26,0,102,12,6,2128,3,387,1,21,22,8
Minnesota Vikings,min,24,1,0,24,1,1,1,1,0,284,35,26,2,297,7,10,31,1,62,18,10,2182,3,346,1,35,13,8
Green Bay Packers,gnb,10,0,1,16,4,1,2,0,1,196,41,24,1,229,11,24,17,0,74,14,5,1418,4,270,1,99,33,8
New England Patriots,nwe,17,0,1,13,2,1,0,0,1,141,29,19,2,161,7,31,19,0,77,9,1,1445,3,218,1,45,20,8
Miami Dolphins,mia,31,1,0,24,3,3,1,1,1,312,45,30,3,324,3,17,26,1,78,14,5,2155,2,390,2,25,12,8
New York Jets,nyj,13,1,0,12,1,0,2,2,0,193,36,17,1,240,9,10,22,0,58,15,2,1538,4,251,2,85,47,8
New York Giants,nyg,10,0,1,12,0,0,2,0,0,-9,14,6,0,7,6,13,52,1,203,19,2,2293,4,194,0,73,16,8
Atlanta Falcons,atl,23,0,1,17,2,1,1,1,0,202,34,20,1,246,3,28,26,1,140,15,4,1621,6,342,1,15,44,8
Tennessee Titans,oti,28,1,0,17,1,1,1,1,0,226,29,19,4,238,6,23,36,0,149,15,5,1979,2,375,1,53,12,8
Jacksonville Jaguars,jax,20,1,0,20,0,0,2,2,1,271,32,24,1,292,6,10,30,0,106,13,6,2056,3,377,3,72,21,8
Pittsburgh Steelers,pit,10,0,1,17,2,0,2,0,2,191,43,25,1,211,6,20,18,0,70,12,3,1544,3,261,2,52,20,8
Philadelphia Eagles,phi,38,1,0,21,1,1,2,2,0,315,38,29,4,319,3,31,22,1,59,13,8,1711,2,374,2,14,4,8
Washington Commanders,was,31,0,1,26,3,0,1,0,1,388,52,39,4,397,7,38,16,0,84,12,7,1889,1,472,1,79,9,8
Cleveland Browns,cle,20,0,1,23,1,0,1,1,2,230,32,16,1,257,4,24,40,1,155,15,6,2200,3,385,3,25,27,8
Seattle Seahawks,sea,24,1,0,17,1,1,1,0,2,248,37,23,2,254,7,20,17,1,114,12,4,1400,1,362,2,43,6,8
Baltimore Ravens,rav,31,1,0,21,0,0,1,0,0,138,27,18,1,157,6,24,29,3,130,11,4,1779,4,268,0,45,19,8
Arizona Cardinals,crd,24,0,1,22,2,0,1,0,2,181,37,25,2,208,6,31,32,1,129,12,5,1821,2,310,2,70,27,8
Kansas City Chiefs,kan,9,0,1,18,3,1,3,3,2,212,38,24,0,240,5,24,16,0,62,10,3,1573,3,274,5,38,28,8
Denver Broncos,den,24,1,0,19,1,0,2,1,0,87,19,12,3,114,6,9,40,0,153,14,6,2027,6,240,1,35,27,8
Cincinnati Bengals,cin,31,1,0,29,0,0,2,1,0,266,32,28,3,283,1,17,27,1,134,8,3,1883,3,400,1,15,17,8
San Francisco 49ers,sfo,17,0,1,24,0,0,1,1,2,347,31,22,1,365,5,31,23,1,113,9,5,1717,2,460,3,54,18,8
Chicago Bears,chi,13,0,1,17,4,1,1,0,2,222,37,25,0,232,7,30,25,2,73,14,6,1712,1,295,2,53,10,8
Los Angeles Chargers,sdg,30,1,0,20,1,0,1,1,0,298,40,31,3,298,2,13,25,0,54,13,7,1888,0,352,1,15,0,8
Las Vegas Raiders,rai,14,0,1,12,3,0,1,0,1,77,21,10,0,126,4,26,18,1,80,9,1,1227,6,157,1,40,49,8
Detroit Lions,det,26,1,0,29,1,1,2,2,1,264,37,26,1,272,5,14,43,1,222,14,6,2373,1,486,3,55,8,8
