team_name,team_abbr,score,game_won,game_lost,first_downs,fourth_down_attempts,fourth_down_conversions,fumbles,fumbles_lost,interceptions,net_pass_yards,pass_attempts,pass_completions,pass_touchdowns,pass_yards,penalties,points,rush_attempts,rush_touchdowns,rush_yards,third_down_attempts,third_down_conversions,time_of_possession,times_sacked,total_yards,turnovers,yards_from_penalties,yards_lost_from_sacks,week
Jacksonville Jaguars,jax,31,1,0,18,2,1,2,2,0,217,30,21,1,217,5,24,26,2,113,11,2,1430,0,330,2,42,0,7
New Orleans Saints,nor,24,0,1,25,6,4,1,0,1,295,55,33,1,301,3,31,31,1,112,18,3,2170,1,407,1,34,6,7
Las Vegas Raiders,rai,12,0,1,20,2,2,0,0,3,196,45,27,1,204,2,30,14,0,39,9,2,1554,1,235,3,15,8,7
Chicago Bears,chi,30,1,0,23,1,0,1,0,0,150,29,21,1,162,9,12,38,2,173,13,8,2046,2,323,0,110,12,7
Cleveland Browns,cle,39,1,0,18,2,1,1,0,2,166,37,16,0,183,4,38,33,3,150,16,4,1649,2,316,2,20,17,7
Indianapolis Colts,clt,38,0,1,20,0,0,4,3,1,288,23,15,2,305,8,39,40,3,168,15,7,1951,4,456,4,67,17,7
Buffalo Bills,buf,25,0,1,24,3,2,1,1,1,258,41,27,2,265,9,29,24,1,81,12,5,1934,1,339,2,46,7,7
New England Patriots,nwe,29,1,0,21,0,0,1,1,0,268,30,25,2,272,8,25,24,1,96,9,4,1666,1,364,1,59,4,7
Washington Commanders,was,7,0,1,14,3,2,1,0,1,197,42,22,0,249,10,14,19,1,76,15,1,1874,6,273,1,75,52,7
New York Giants,nyg,14,1,0,16,0,0,3,2,0,250,29,18,2,279,4,7,32,0,106,16,5,1726,4,356,2,40,29,7
Detroit Lions,det,6,0,1,18,6,2,2,0,1,253,53,33,0,284,5,38,14,1,84,16,5,1778,5,337,1,57,31,7
Baltimore Ravens,rav,38,1,0,23,1,1,1,1,0,357,28,21,3,357,4,6,27,2,146,8,4,1822,0,503,1,45,0,7
Atlanta Falcons,atl,16,1,0,20,0,0,3,3,0,245,25,19,0,250,9,13,38,1,156,13,7,1799,1,401,3,60,5,7
Tampa Bay Buccaneers,tam,13,0,1,21,1,0,2,1,1,256,42,27,1,275,9,16,20,0,73,12,6,1801,3,329,2,66,19,7
Pittsburgh Steelers,pit,24,1,0,17,1,1,1,0,0,214,25,17,0,230,8,17,29,3,86,12,4,1694,2,300,0,76,16,7
Los Angeles Rams,ram,17,0,1,19,0,0,0,0,1,219,29,14,1,231,5,24,31,1,135,16,9,1906,2,354,1,40,12,7
Arizona Cardinals,crd,10,0,1,15,3,0,1,0,0,122,34,20,0,150,7,20,25,1,127,15,5,1768,4,249,0,60,28,7
Seattle Seahawks,sea,20,1,0,18,0,0,2,2,1,203,24,18,2,219,5,10,32,0,115,13,7,1832,2,318,3,32,16,7
Green Bay Packers,gnb,17,0,1,20,2,2,0,0,1,194,32,22,2,194,7,19,29,0,137,14,6,1897,0,331,1,56,0,7
Denver Broncos,den,19,1,0,18,1,0,0,0,0,194,29,20,1,194,8,17,25,0,145,12,5,1703,1,339,0,60,0,7
Los Angeles Chargers,sdg,17,0,1,16,1,1,0,0,2,219,30,17,1,259,4,31,26,1,139,14,6,1700,5,358,2,43,40,7
Kansas City Chiefs,kan,31,1,0,25,0,0,1,1,1,415,42,32,4,424,6,17,21,0,68,11,6,1900,1,483,2,43,9,7
Miami Dolphins,mia,17,0,1,12,2,0,1,0,1,199,32,23,1,216,10,31,12,0,45,11,4,1397,4,244,1,70,17,7
Philadelphia Eagles,phi,31,1,0,26,4,4,1,1,1,256,31,23,2,279,0,17,34,2,99,12,4,2203,3,355,2,0,23,7
San Francisco 49ers,sfo,17,0,1,19,1,1,1,1,2,260,30,21,1,272,5,22,22,1,65,9,5,1504,1,325,3,37,12,7
Minnesota Vikings,min,22,1,0,24,0,0,0,0,1,378,45,35,2,378,5,17,21,0,74,13,8,2096,0,452,1,35,0,7
