team_name,team_abbr,score,game_won,game_lost,first_downs,fourth_down_attempts,fourth_down_conversions,fumbles,fumbles_lost,interceptions,net_pass_yards,pass_attempts,pass_completions,pass_touchdowns,pass_yards,penalties,points,rush_attempts,rush_touchdowns,rush_yards,third_down_attempts,third_down_conversions,time_of_possession,times_sacked,total_yards,turnovers,yards_from_penalties,yards_lost_from_sacks,week
Green Bay Packers,gnb,29,1,0,17,1,0,0,0,0,268,32,22,3,268,7,22,22,0,109,11,5,1684,0,377,0,60,0,12
Detroit Lions,det,22,0,1,25,5,1,3,3,0,324,44,29,2,332,7,29,31,1,140,15,7,1916,3,464,3,51,8,12
Washington Commanders,was,10,0,1,23,3,0,0,0,1,268,44,28,0,300,4,45,27,1,108,15,7,2214,4,376,1,25,32,12
Dallas Cowboys,dal,45,1,0,21,0,0,1,0,0,331,32,22,4,331,7,10,18,1,100,10,6,1386,0,431,0,48,0,12
San Francisco 49ers,sfo,31,1,0,23,0,0,1,0,1,208,31,21,1,209,3,13,33,3,169,11,5,2130,1,377,1,20,1,12
Seattle Seahawks,sea,13,0,1,14,1,0,1,1,1,132,27,18,0,180,5,31,21,0,88,11,3,1470,6,220,2,39,48,12
Miami Dolphins,mia,34,1,0,22,1,0,2,1,2,228,30,21,1,243,6,13,37,2,167,16,11,2141,2,395,3,38,15,12
New York Jets,nyj,13,0,1,12,3,2,2,0,2,130,38,27,1,179,6,34,10,0,29,14,5,1459,7,159,2,60,49,12
New Orleans Saints,nor,15,0,1,22,0,0,2,1,1,296,38,24,0,304,6,24,28,0,148,14,6,1894,1,444,2,50,8,12
Atlanta Falcons,atl,24,1,0,25,1,0,0,0,2,168,21,13,1,168,5,15,41,1,228,8,4,1706,0,396,2,35,0,12
Pittsburgh Steelers,pit,16,1,0,22,0,0,1,1,0,268,33,24,0,278,5,10,33,1,153,17,8,2237,2,421,1,55,10,12
Cincinnati Bengals,cin,10,0,1,10,0,0,1,0,1,197,26,19,1,227,5,16,11,0,25,10,2,1363,4,222,1,36,30,12
Tampa Bay Buccaneers,tam,20,0,1,17,1,1,2,1,1,173,31,20,2,199,4,27,19,0,125,13,5,1719,6,298,2,24,26,12
Indianapolis Colts,clt,27,1,0,26,4,3,1,0,1,239,41,24,0,251,5,20,27,3,155,11,2,1881,2,394,1,40,12,12
Jacksonville Jaguars,jax,24,1,0,22,0,0,0,0,1,364,38,23,1,364,6,21,30,1,81,13,7,2034,0,445,1,35,0,12
Houston Texans,htx,21,0,1,19,1,0,0,0,0,261,36,26,2,304,7,24,18,1,91,13,6,1566,4,352,0,49,43,12
New England Patriots,nwe,7,0,1,18,2,2,3,0,3,136,35,21,0,143,2,10,31,1,147,14,4,2046,2,283,3,13,7,12
New York Giants,nyg,10,1,0,10,0,0,3,1,0,162,25,17,1,191,4,7,19,0,58,13,4,1554,6,220,1,37,29,12
Carolina Panthers,car,10,0,1,19,3,2,1,1,0,162,31,18,0,194,4,17,32,1,96,16,6,2029,4,258,1,35,32,12
Tennessee Titans,oti,17,1,0,15,1,1,0,0,0,184,28,18,0,185,8,10,24,2,80,11,2,1571,1,264,0,53,1,12
Los Angeles Rams,ram,37,1,0,25,2,2,0,0,1,229,33,25,4,229,5,14,33,1,228,12,6,2092,0,457,1,23,0,12
Arizona Cardinals,crd,14,0,1,19,3,2,0,0,0,219,45,27,1,256,5,37,15,1,73,17,6,1508,4,292,0,34,37,12
Cleveland Browns,cle,12,0,1,19,5,2,5,3,0,162,42,20,1,190,8,29,24,0,107,13,2,1632,4,269,3,66,28,12
Denver Broncos,den,29,1,0,17,1,0,2,1,0,125,22,13,1,134,8,12,39,2,169,14,6,1968,1,294,1,71,9,12
Buffalo Bills,buf,34,0,1,29,1,1,1,0,1,332,51,29,2,339,11,37,40,2,173,22,13,2430,1,505,1,80,7,12
Philadelphia Eagles,phi,37,1,0,24,0,0,1,1,1,193,31,18,3,200,4,34,32,2,185,11,4,1613,2,378,2,30,7,12
Kansas City Chiefs,kan,31,1,0,23,0,0,0,0,0,291,34,27,2,298,4,17,23,2,69,11,5,1845,1,360,0,40,7,12
Las Vegas Raiders,rai,17,0,1,16,2,0,0,0,0,235,34,23,1,248,0,31,23,1,123,14,7,1755,1,358,0,0,13,12
Baltimore Ravens,rav,20,1,0,20,3,1,1,0,0,164,32,18,1,177,5,10,35,1,197,13,4,2003,2,361,0,42,13,12
Los Angeles Chargers,sdg,10,0,1,16,3,1,3,3,1,193,44,29,1,217,5,20,19,0,86,15,7,1597,3,279,4,41,24,12
Chicago Bears,chi,12,1,0,18,1,1,3,2,0,199,37,27,0,217,7,10,28,0,118,18,8,2150,3,317,2,76,18,12
Minnesota Vikings,min,10,0,1,15,2,0,2,0,4,169,32,22,1,185,4,12,17,0,73,9,2,1450,2,242,4,24,16,12
